name,Part id,manufacturer,order id,retailer,quantity,obs1,obs2,obs3,URL
,,,,,,,,,
Red LED,B5B-434-TY,Roithner,,Roitner,1,LED,,,http://www.roithner-laser.com/led_diverse.html
Green LED,RLS-5B475-S,Roithner,,Roitner,1,LED,,,http://www.roithner-laser.com/led_diverse.html
Blue LED,VL415-5-15,Roithner,,Roitner,1,LED,,,http://www.roithner-laser.com/led_diverse.html
UV LED,LED365-06Z,Roithner,,Roitner,1,LED,,,http://www.roithner-laser.com/led_diverse.html
,,,,,,,,,
Red LED Filter,FF01-586/20 BrightLine HC,Semrock,F39-587,AHF,1,Band Pass Filter,,,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/individual-filters/bandpass-filters/500-599-nm/2098/586/20-brightline-hc?c=499
Green LED Filter,ET 480/40,Chroma,F49-480,AHF,1,Band Pass Filter,,,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/individual-filters/bandpass-filters/400-499-nm/2598/480/40x-et-bandpass
Blue LED Filter,ET 420/40,Chroma,F47-420,AHF,1,Band Pass Filter,,,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/individual-filters/bandpass-filters/400-499-nm/2370/420/40-et-bandpass
UV LED Filter,FF01-370/36 BrightLine HC,Semrock,F39-370,AHF,1,Band Pass Filter,,,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/individual-filters/bandpass-filters/200-399-nm/1985/370/36-brightline-hc
,,,,,,,,,
Beamsplitter #1,T450lpxr,Chroma,F48-450,AHF,1,Optics,,25.5X36X1mm,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/dichroic-beamsplitters/beamsplitters-for-epi-fluorescence/standard-beamsplitters/longpass-beamsplitters/2490/beamsplitter-t-450-lpxr?number=F48-450
Beamsplitter #2,T400lp,Chroma,F79-100,AHF,1,Optics,,25.5X36X1mm,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/dichroic-beamsplitters/beamsplitters-for-epi-fluorescence/standard-beamsplitters/longpass-beamsplitters/3180/beamsplitter-t-400-lp
Beamsplitter #3,H560 LPXR,AHF,F48-559,AHF,1,Optics,,25.5X36X1mm,https://www.ahf.de/en/products/spectral-analysis-photonic/optical-filters/dichroic-beamsplitters/laser-beamsplitters/longpass-laser-beamsplitters/single/2517/laser-beamsplitter-h-560-lpxr-superflat?number=F48-559
